Serial No.,Degree,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,B.Sc,337,118,4,4.5,4.5,9.65,1,0.92
2,B.Sc,324,107,4,4,4.5,8.87,1,0.76
3,B.Sc,316,104,3,3,3.5,8,1,0.72
4,B.Sc,322,110,3,3.5,2.5,8.67,,0.8
5,B.Sc,314,103,2,2,3,8.21,0,
6,B.Sc,330,115,5,4.5,,,1,0.9
7,B.Sc,321,109,,,4,,1,0.75
8,B.Sc,308,101,2,3,4,7.9,0,0.68
9,B.Sc,,102,1,2,,8,,0.5
10,B.Sc,323,108,,3.5,,,0,0.45
11,B.Sc,325,106,3,3.5,4,,1,0.52
12,B.Sc,327,111,4,4,4.5,9,1,0.84
13,B.Sc,,,4,4,4.5,9.1,1,0.78
14,B.Sc,,,3,4,,8,1,0.62
15,B.Sc,,104,,,2,,,0.61
16,B.Sc,314,,3,3.5,,8.3,,0.54
17,B.Sc,317,107,,4,3,8.7,0,0.66
18,B.Sc,,,3,4,3,8,1,0.65
19,B.Sc,318,110,,4,3,8.8,0,
20,B.Sc,303,102,3,3.5,,,0,0.62
21,B.Sc,312,107,3,3,2,,,0.64
22,B.Sc,325,,,3,2,,0,0.7
23,B.Sc,,116,,5,,9.5,1,0.94
24,B.Sc,334,119,,5,4.5,9.7,1,0.95
25,B.Sc,336,119,,4,3.5,9.8,1,0.97
26,B.Sc,340,120,,4.5,4.5,,1,0.94
27,B.Sc,322,109,,4.5,3.5,8.8,0,0.76
28,B.Sc,,98,,1.5,,,1,0.44
29,B.Sc,295,,1,2,2,7.2,0,0.46
30,B.Sc,310,99,2,1.5,2,7.3,,0.54
31,B.Sc,300,97,2,3,3,,1,
32,B.Sc,,103,3,4,4,8.3,1,0.74
33,B.Sc,338,118,4,3,4.5,9.4,1,0.91
34,B.Sc,340,,5,4,4,9.6,1,0.9
35,B.Sc,,112,5,4,5,,1,
36,B.Sc,320,110,5,5,5,9.2,1,0.88
37,B.Sc,299,106,2,4,4,,,0.64
38,B.Sc,300,105,1,1,2,7.8,0,0.58
39,B.Sc,,105,1,3,1.5,,0,
40,B.Sc,307,108,2,4,3.5,7.7,0,
41,B.Sc,308,,3,3.5,3,,,
42,B.Sc,316,105,2,2.5,2.5,8.2,1,
43,B.Sc,,,2,2.5,2,,1,
44,B.Sc,332,117,4,4.5,4,,,0.87
45,B.Sc,326,113,5,4.5,4,,1,0.91
46,B.Sc,,110,5,5,4,,1,0.88
47,B.Sc,329,114,5,4,5,,1,
48,B.Sc,339,119,5,4.5,4,,0,0.89
49,B.Sc,,110,3,3.5,5,,1,0.82
50,B.Sc,327,111,4,3,4,8.4,1,0.78
51,B.Sc,,98,3,2.5,4.5,8.3,,
52,B.Sc,312,100,2,1.5,3.5,,,0.56
53,B.Sc,334,116,4,4,3,8,,0.78
54,B.Sc,324,112,4,4,2.5,8.1,,
55,B.Sc,322,110,3,3,3.5,,,0.7
56,B.Sc,320,103,3,3,3,7.7,,0.64
57,B.Sc,316,102,3,2,3,7.4,,
58,M.Sc,298,99,2,4,2,,,0.46
59,M.Sc,300,99,1,3,2,,,0.36
60,M.Sc,311,104,2,2,2,8.3,0,0.42
61,M.Sc,309,100,2,3,3,8.1,0,0.48
62,M.Sc,307,101,3,4,3,8.2,0,0.47
63,M.Sc,304,105,2,3,3,8.2,1,0.54
64,M.Sc,315,107,2,4,3,8.5,1,0.56
65,M.Sc,325,111,3,3,3.5,8.7,0,0.52
66,M.Sc,325,112,4,3.5,3.5,8.92,0,
67,M.Sc,327,114,3,3,3,,0,0.61
68,M.Sc,316,107,2,3.5,3.5,8.64,1,0.57
69,M.Sc,318,109,3,3.5,4,,1,0.68
70,M.Sc,328,115,4,4.5,4,9.16,1,0.78
71,M.Sc,332,118,5,5,5,9.64,1,
72,M.Sc,336,112,5,5,5,9.76,1,0.96
73,M.Sc,321,111,5,5,5,9.45,1,0.93
74,M.Sc,314,108,4,4.5,4,9.04,1,0.84
75,M.Sc,314,106,3,3,5,8.9,0,0.74
76,M.Sc,329,114,2,2,4,8.56,1,0.72
77,M.Sc,327,112,3,3,3,8.72,1,0.74
78,M.Sc,301,99,2,3,2,8.22,0,0.64
79,M.Sc,296,95,2,3,2,7.54,1,0.44
80,M.Sc,294,93,1,1.5,2,7.36,0,
81,M.Sc,312,105,3,2,3,8.02,1,0.5
82,M.Sc,340,120,4,5,5,9.5,1,0.96
83,M.Sc,320,110,5,5,4.5,9.22,1,
84,M.Sc,322,115,5,4,4.5,9.36,1,0.92
85,M.Sc,340,115,5,4.5,4.5,9.45,1,
86,M.Sc,319,103,4,4.5,3.5,8.66,0,0.76
87,M.Sc,315,106,3,4.5,3.5,8.42,0,0.72
88,M.Sc,317,107,2,3.5,3,8.28,0,0.66
89,M.Sc,314,108,3,4.5,3.5,8.14,0,0.64
90,M.Sc,316,109,4,4.5,3.5,8.76,1,0.74
91,M.Sc,318,106,2,4,4,7.92,1,
92,M.Sc,299,97,3,5,3.5,7.66,0,0.38
93,B.Sc,298,98,2,4,3,8.03,0,0.34
94,B.Sc,301,97,2,3,3,7.88,1,0.44
95,B.Sc,303,99,3,2,2.5,7.66,0,
96,B.Sc,304,100,4,1.5,2.5,7.84,0,0.42
97,B.Sc,306,100,2,3,3,8,0,
98,B.Sc,331,120,3,4,4,8.96,1,0.86
99,B.Sc,332,119,4,5,4.5,9.24,1,0.9
100,B.Sc,323,113,3,4,4,8.88,1,0.79
101,B.Sc,322,107,,3.5,3.5,8.46,1,0.71
102,B.Sc,312,105,,2.5,3,8.12,0,0.64
103,B.Sc,314,106,,4,3.5,8.25,0,0.62
104,B.Sc,317,104,2,4.5,4,8.47,0,0.57
105,B.Sc,,112,3,3.5,3,9.05,1,0.74
106,B.Sc,,110,3,4,4.5,8.78,1,
107,B.Sc,,111,4,,4.5,9.18,1,
108,B.Sc,,117,4,,4.5,9.46,1,0.91
109,B.Sc,,116,5,,5,9.38,1,0.93
110,B.Sc,304,103,5,5,4,8.64,0,
111,B.Sc,305,108,5,3,3,8.48,0,0.61
112,B.Sc,321,109,4,4,4,8.68,1,0.69
113,B.Sc,301,,3,3.5,3.5,8.34,1,0.62
114,B.Sc,320,,2,4,3.5,8.56,0,
115,M.Sc,311,,3,3.5,3,8.45,1,0.59
116,M.Sc,310,,4,4.5,4.5,9.04,1,0.66
117,M.Sc,299,102,3,4,3.5,8.62,0,0.56
118,M.Sc,290,104,4,2,2.5,7.46,0,0.45
119,M.Sc,296,99,2,3,3.5,7.28,0,
120,M.Sc,327,104,5,3,3.5,8.84,1,0.71
121,M.Sc,335,117,5,5,5,9.56,1,0.94
122,M.Sc,334,119,5,4.5,4.5,9.48,1,0.94
123,M.Sc,310,106,4,1.5,2.5,8.36,0,0.57
124,M.Sc,308,108,3,3.5,3.5,8.22,0,0.61
125,M.Sc,301,106,4,2.5,3,8.47,0,
126,M.Sc,300,100,3,2,3,8.66,1,0.64
127,M.Sc,323,113,3,4,3,9.32,1,0.85
128,M.Sc,319,112,3,2.5,2,8.71,1,0.78
129,B.Sc,326,112,3,3.5,3,9.1,1,0.84
130,B.Sc,333,118,5,5,5,9.35,1,0.92
131,B.Sc,339,114,5,4,4.5,9.76,1,
132,B.Sc,303,105,5,5,4.5,8.65,0,0.77
133,B.Sc,309,105,5,3.5,3.5,8.56,0,0.71
134,B.Sc,323,112,5,4,4.5,8.78,0,0.79
135,B.Sc,333,113,5,4,4,9.28,1,
136,B.Sc,314,109,4,3.5,4,8.77,1,0.82
137,B.Sc,312,103,3,5,4,8.45,0,0.76
138,B.Sc,316,100,2,1.5,3,8.16,1,0.71
139,B.Sc,326,116,2,4.5,3,9.08,1,0.8
140,M.Sc,318,109,1,3.5,3.5,9.12,0,0.78
141,M.Sc,329,110,2,4,3,9.15,1,0.84
142,M.Sc,332,118,2,4.5,3.5,9.36,1,
143,M.Sc,331,115,5,4,3.5,9.44,1,0.92
144,M.Sc,340,120,4,4.5,4,9.92,1,
145,M.Sc,325,112,2,3,3.5,8.96,1,0.8
146,M.Sc,320,113,2,2,2.5,8.64,1,0.81
147,M.Sc,315,105,3,2,2.5,8.48,0,0.75
148,M.Sc,326,114,3,3,3,9.11,1,0.83
149,M.Sc,339,116,4,4,3.5,9.8,1,0.96
150,M.Sc,311,106,2,3.5,3,8.26,1,
151,M.Sc,334,114,4,4,4,9.43,1,0.93
152,M.Sc,332,116,5,5,5,9.28,1,0.94
153,M.Sc,321,112,5,5,5,9.06,1,
154,B.Sc,324,105,3,3,4,8.75,0,
155,B.Sc,326,108,3,3,3.5,8.89,0,0.8
156,B.Sc,312,109,3,3,3,8.69,0,
157,B.Sc,315,105,3,2,2.5,8.34,0,0.7
158,B.Sc,309,104,2,2,2.5,8.26,0,
159,B.Sc,306,106,2,2,2.5,8.14,0,0.61
160,B.Sc,297,100,1,1.5,2,7.9,0,0.52
161,B.Sc,315,103,1,1.5,2,7.86,0,0.57
162,B.Sc,298,99,1,1.5,3,7.46,0,0.53
163,B.Sc,318,109,3,3,3,8.5,0,0.67
164,B.Sc,317,105,3,3.5,3,8.56,0,0.68
165,B.Sc,329,111,4,4.5,4,9.01,1,0.81
166,B.Sc,322,110,5,4.5,4,8.97,0,0.78
167,B.Sc,302,102,3,3.5,5,8.33,0,0.65
168,B.Sc,313,102,3,2,3,8.27,0,0.64
169,B.Sc,293,97,2,2,4,7.8,1,0.64
170,B.Sc,311,99,2,2.5,3,7.98,0,0.65
171,B.Sc,312,101,2,2.5,3.5,8.04,1,0.68
172,B.Sc,334,117,5,4,4.5,9.07,1,0.89
173,B.Sc,322,110,4,4,5,9.13,1,0.86
174,B.Sc,323,113,4,4,4.5,9.23,1,0.89
175,B.Sc,321,111,4,4,4,8.97,1,
176,B.Sc,320,111,4,4.5,3.5,8.87,1,0.85
177,B.Sc,329,119,4,4.5,4.5,9.16,1,0.9
178,B.Sc,319,110,3,3.5,3.5,9.04,0,0.82
179,B.Sc,309,108,3,2.5,3,8.12,0,0.72
180,B.Sc,307,102,3,3,3,8.27,0,0.73
181,M.Sc,300,104,3,3.5,3,8.16,0,0.71
182,M.Sc,305,107,2,2.5,2.5,8.42,0,0.71
183,M.Sc,299,100,2,3,3.5,7.88,0,0.68
184,M.Sc,314,110,3,4,4,8.8,0,0.75
185,M.Sc,316,106,2,2.5,4,8.32,0,0.72
186,M.Sc,327,113,4,4.5,4.5,9.11,1,0.89
187,M.Sc,317,107,3,3.5,3,8.68,1,0.84
188,M.Sc,335,118,5,4.5,3.5,9.44,1,0.93
189,M.Sc,331,115,5,4.5,3.5,9.36,1,0.93
190,M.Sc,324,112,5,5,5,9.08,1,0.88
191,M.Sc,324,111,5,4.5,4,9.16,1,0.9
192,M.Sc,323,110,5,4,5,8.98,1,0.87
193,M.Sc,322,114,5,4.5,4,8.94,1,0.86
194,M.Sc,336,118,5,4.5,5,9.53,1,0.94
195,B.Sc,316,109,3,3.5,3,8.76,0,0.77
196,B.Sc,307,107,2,3,3.5,8.52,1,0.78
197,B.Sc,306,105,2,3,2.5,8.26,0,0.73
198,B.Sc,310,106,2,3.5,2.5,8.33,0,0.73
199,B.Sc,311,104,3,4.5,4.5,8.43,0,0.7
200,B.Sc,313,107,3,4,4.5,8.69,0,0.72
201,B.Sc,317,103,3,2.5,3,8.54,1,0.73
202,B.Sc,315,110,2,3.5,3,8.46,1,0.72
203,B.Sc,340,120,5,4.5,4.5,9.91,1,0.97
204,B.Sc,334,120,5,4,5,9.87,1,0.97
205,B.Sc,298,105,3,3.5,4,8.54,0,0.69
206,B.Sc,295,99,2,2.5,3,7.65,0,0.57
207,B.Sc,315,99,2,3.5,3,7.89,0,0.63
208,B.Sc,310,102,3,3.5,4,8.02,1,0.66
209,B.Sc,305,106,2,3,3,8.16,0,0.64
210,B.Sc,301,104,3,3.5,4,8.12,1,0.68
211,B.Sc,325,108,4,4.5,4,9.06,1,0.79
212,B.Sc,328,110,4,5,4,9.14,1,0.82
213,B.Sc,338,120,4,5,5,9.66,1,0.95
214,B.Sc,333,119,5,5,4.5,9.78,1,0.96
215,B.Sc,331,117,4,4.5,5,9.42,1,0.94
216,B.Sc,330,116,5,5,4.5,9.36,1,0.93
217,B.Sc,322,112,4,4.5,4.5,9.26,1,0.91
218,B.Sc,321,109,4,4,4,9.13,1,0.85
219,B.Sc,324,110,4,3,3.5,8.97,1,0.84
220,B.Sc,312,104,3,3.5,3.5,8.42,0,0.74
221,B.Sc,313,103,3,4,4,8.75,0,0.76
222,B.Sc,316,110,3,3.5,4,8.56,0,0.75
